Nome,Data de Nascimento,Sexo,Raça,Estado Civil,Você trabalha? (Estágio ou Efetivo),Renda Própria,Quantidade de Filhos,Renda do Responsável Financeiro,Escolaridade do Responsável,Bairro,Distancia,Tipo de Ingresso,%_BOLSA,Curso,Semestre,FALTA,Status
Bianca Novais,1996-07-18,Masculino,Branco,Solteiro,Não,1736,0,2535,Ensino Médio,Lago Sul,4,IDP Pass,28,Publicidade,4,10,0
Dante Rios,2000-09-16,Masculino,Branco,União Estável,Sim,2107,1,2578,Ensino Superior,Lago Norte,10,IDP Pass,32,Ciência da Computação,3,28,1
Marcela Lima,1997-01-01,Feminino,Branco,Solteiro,Sim,2372,0,2975,Ensino Superior,SIA,8,PROUNI,100,Psicologia,1,24,0
Lucas Andrade,1996-07-25,Masculino,Outras,Solteiro,Sim,2732,0,3142,Ensino Superior,SIA,4,ENEM,16,Publicidade,2,6,1
Rhavi Fernandes,1996-10-13,Feminino,Negro,Solteiro,Não,1263,0,3498,Ensino Médio,Lago Norte,4,IDP Pass,10,Ciência da Computação,4,8,0
Rodrigo Novais,1934-04-05,Masculino,Negro,Solteiro,Não,2795,0,3115,Ensino Superior,Núcleo Bandeirante,1,IDP Pass,6,Administração,3,6,0
Heloísa Montenegro,1994-11-09,Feminino,Branco,Solteiro,Sim,1006,0,3967,Ensino Superior,Águas Claras,10,Transferência,47,Psicologia,1,6,0
Clarice Dias,1998-09-19,Feminino,Branco,Solteiro,Não,1613,0,3640,Ensino Superior,Samambaia,4,Transferência,36,Publicidade,5,7,1
Maitê Aragão,2005-04-06,Masculino,Negro,Solteiro,Sim,2229,0,2644,Ensino Superior,Lago Norte,6,Transferência,13,Administração,3,10,0
Maria Flor Peixoto,1997-03-04,Masculino,Negro,Solteiro,Não,2222,0,3997,Ensino Médio,Sudoeste,6,IDP Pass,36,Administração,1,10,1
Clarice Rios,2006-04-05,Feminino,Branco,Solteiro,Sim,2390,0,3830,Ensino Superior,Fercal,8,IDP Pass,28,Publicidade,4,8,0
Bryan Pires,2001-05-12,Masculino,Branco,Solteiro,Sim,2720,1,3666,Ensino Superior,Lago Norte,4,IDP Pass,44,Psicologia,1,3,1
Luna Casa Grande,2005-06-20,Masculino,Branco,Solteiro,Não,2578,0,2422,Ensino Médio,Lago Norte,8,ENEM,48,Administração,3,5,1
Théo Cardoso,1931-02-20,Masculino,Branco,Solteiro,Sim,2887,0,2151,Ensino Superior,Varjão,1,Transferência,46,Arquitetura,1,6,1
Davi Luiz da Cruz,1997-08-14,Masculino,Outras,Solteiro,Sim,1946,0,2442,Ensino Médio,Lago Sul,8,IDP Pass,1,Engenharia de Software,5,8,0
Ana Clara Montenegro,1997-02-01,Masculino,Branco,Solteiro,Não,1712,0,2440,Ensino Médio,Sudoeste,6,ENEM,5,Ciência da Computação,4,9,0
Jade da Costa,2001-08-29,Feminino,Branco,União Estável,Sim,1941,0,2786,Ensino Médio,Fercal,3,ENEM,21,Ciência da Computação,5,10,1
Isadora Mendes,2003-07-31,Feminino,Branco,Solteiro,Sim,2857,0,2599,Ensino Superior,Lago Sul,9,ENEM,33,Ciência da Computação,4,6,0
Gabrielly Lopes,1995-07-11,Masculino,Branco,Solteiro,Não,1226,0,3008,Ensino Médio,Sobradinho,9,PROUNI,100,Ciência da Computação,2,8,0
Theo Silva,2001-12-03,Feminino,Negro,Solteiro,Sim,1114,0,3385,Ensino Superior,Ceilândia,1,IDP Pass,10,Arquitetura,1,7,0
Theodoro Gonçalves,2000-07-04,Feminino,Branco,Solteiro,Sim,1371,0,3963,Ensino Superior,Varjão,1,ENEM,18,Psicologia,4,10,0
Sabrina Novais,2004-10-21,Masculino,Branco,Solteiro,Sim,1468,0,3805,Ensino Superior,Lago Norte,10,Transferência,6,Arquitetura,4,6,1
Vinicius Teixeira,2003-03-06,Masculino,Branco,Solteiro,Não,2952,0,2639,Ensino Médio,Asa Sul,9,ENEM,34,Engenharia de Software,1,9,1
Luara Martins,1997-06-02,Feminino,Branco,Solteiro,Não,1735,0,2134,Ensino Médio,Lago Norte,9,ENEM,3,Economia,4,10,0
Catarina Teixeira,2002-02-09,Masculino,Branco,Solteiro,Sim,2980,0,2238,Ensino Superior,Lago Sul,7,IDP Pass,23,Administração,1,7,0
Asafe Sousa,2003-04-13,Feminino,Negro,Solteiro,Não,2549,0,2754,Ensino Superior,Sudoeste,5,IDP Pass,15,Ciência da Computação,2,1,1
Liam Sampaio,2004-09-12,Masculino,Branco,Solteiro,Sim,2969,0,3975,Ensino Superior,Lago Norte,5,Transferência,3,Ciência da Computação,2,7,1
Diego Farias,2002-07-05,Feminino,Branco,Solteiro,Sim,2924,0,2640,Ensino Médio,Noroeste,4,PROUNI,100,Psicologia,4,12,1
Henry da Paz,2001-07-01,Masculino,Negro,Solteiro,Sim,1710,0,2036,Ensino Médio,Fercal,5,IDP Pass,16,Economia,5,9,0
Murilo Martins,1997-11-04,Masculino,Branco,Solteiro,Sim,2806,0,2241,Ensino Médio,Sudoeste,7,Transferência,1,Economia,4,10,1
Sarah Guerra,1996-10-05,Masculino,Branco,Solteiro,Não,2093,0,3630,Ensino Superior,Fercal,1,ENEM,45,Engenharia de Software,1,10,1
Maria Fernanda Silveira,2005-09-20,Masculino,Branco,Solteiro,Sim,2396,0,2738,Ensino Superior,Varjão,1,ENEM,6,Publicidade,1,10,0
Henry Gabriel Garcia,1998-10-15,Masculino,Branco,Solteiro,Sim,2782,0,3839,Ensino Médio,SCIA,8,IDP Pass,1,Psicologia,5,9,0
Sara da Costa,1998-07-08,Masculino,Branco,Solteiro,Sim,2885,0,2319,Ensino Superior,Asa Sul,4,Transferência,47,Publicidade,3,9,0
Maya Lopes,1997-07-25,Feminino,Outras,Solteiro,Sim,1322,0,2552,Ensino Superior,Asa Norte,8,PROUNI,100,Publicidade,1,10,1
Cauã Montenegro,1998-09-10,Masculino,Branco,Solteiro,Não,1686,0,2958,Ensino Superior,Recanto das Emas,3,PROUNI,100,Publicidade,4,10,1
Valentim Ramos,1916-02-05,Feminino,Outras,Solteiro,Sim,1352,0,3177,Ensino Superior,Asa Norte,4,IDP Pass,1,Engenharia de Software,5,26,0
Alice Fonseca,1928-10-24,Feminino,Negro,União Estável,Sim,1287,0,3430,Ensino Médio,São Sebastião,7,ENEM,48,Economia,5,6,0
Felipe Cunha,1996-09-22,Masculino,Negro,União Estável,Sim,2182,0,2055,Ensino Superior,Lago Norte,6,IDP Pass,6,Ciência da Computação,3,9,0
Heloísa Rezende,2003-11-01,Feminino,Branco,União Estável,Sim,1215,0,2000,Ensino Médio,Sudoeste,9,ENEM,2,Publicidade,1,10,1
Vitória da Cunha,2004-04-20,Feminino,Branco,Solteiro,Não,1553,0,3025,Ensino Superior,Cruzeiro,2,IDP Pass,24,Ciência da Computação,5,10,0
Maria Alice da Luz,1940-09-16,Feminino,Branco,Solteiro,Não,1402,0,2333,Ensino Médio,Lago Sul,5,IDP Pass,21,Ciência da Computação,3,9,0
Sophia Duarte,2000-08-23,Feminino,Outras,Solteiro,Sim,1799,0,2597,Ensino Superior,Itapoã,10,PROUNI,100,Economia,2,9,0
Manuela Nascimento,2001-01-30,Feminino,Branco,Solteiro,Sim,2552,0,3722,Ensino Médio,Cruzeiro,1,Transferência,45,Publicidade,3,10,1
Larissa Garcia,2002-12-20,Masculino,Branco,Solteiro,Sim,1444,0,3364,Ensino Médio,Brazlândia,6,IDP Pass,42,Psicologia,3,39,1
Leonardo Garcia,2004-06-24,Feminino,Branco,Solteiro,Não,1310,0,3452,Ensino Superior,Plano Piloto,2,Transferência,3,Publicidade,1,14,1
Paulo Ferreira,2006-01-16,Feminino,Branco,União Estável,Sim,1995,0,3144,Ensino Médio,Planaltina,6,Transferência,20,Publicidade,5,8,0
Ana Liz Costela,1999-02-17,Masculino,Branco,Casado,Não,1805,0,2867,Ensino Médio,Ceilândia,7,ENEM,40,Publicidade,3,8,0
Maria Julia Rodrigues,2004-09-20,Feminino,Branco,Solteiro,Não,1725,0,3760,Ensino Médio,Águas Claras,6,ENEM,1,Administração,1,8,1
Lunna Cirino,2004-10-16,Feminino,Outras,Solteiro,Não,1187,0,3619,Ensino Superior,Park Way,7,ENEM,15,Publicidade,1,9,0
Alana Teixeira,1995-04-06,Feminino,Outras,Solteiro,Sim,2616,0,2530,Ensino Superior,Noroeste,1,Transferência,48,Engenharia de Software,1,10,0
Maria Eduarda Cavalcante,2005-09-12,Masculino,Branco,Solteiro,Sim,1232,0,2273,Ensino Médio,Lago Sul,2,ENEM,48,Ciência da Computação,5,22,0
Anthony Gabriel Cavalcanti,1994-10-10,Feminino,Negro,Solteiro,Sim,1516,0,3485,Ensino Superior,SCIA,6,ENEM,48,Engenharia de Software,1,8,0
Gabrielly Pimenta,2001-12-31,Feminino,Branco,Solteiro,Sim,2665,0,2687,Ensino Médio,Plano Piloto,10,Transferência,26,Arquitetura,3,8,1
Isaque Silveira,1996-05-06,Feminino,Negro,Solteiro,Sim,1797,0,2870,Ensino Médio,Gama,2,ENEM,21,Engenharia de Software,3,4,0
Vitor Gabriel Gomes,1926-01-20,Feminino,Branco,Solteiro,Sim,2242,0,2908,Ensino Médio,Lago Oeste,9,IDP Pass,14,Ciência da Computação,2,10,0
Ana Clara da Paz,2001-11-07,Masculino,Branco,União Estável,Não,2420,0,3201,Ensino Superior,Paranoá,8,IDP Pass,7,Economia,5,10,0
Isadora Macedo,2005-04-16,Feminino,Branco,Solteiro,Sim,1160,0,3518,Ensino Médio,Taguatinga,10,IDP Pass,23,Economia,3,8,0
Manuela da Costa,1998-02-05,Feminino,Negro,Solteiro,Sim,2772,0,3280,Ensino Médio,Paranoá,8,Transferência,19,Administração,5,10,0
Bento Souza,2005-02-06,Masculino,Outras,Solteiro,Não,1913,0,2688,Ensino Superior,Asa Sul,9,PROUNI,100,Publicidade,2,6,0
Gabriela Ribeiro,1996-12-23,Masculino,Branco,Solteiro,Não,1904,0,3027,Ensino Superior,Asa Norte,7,Transferência,25,Economia,2,7,0
Enzo Leão,1997-09-12,Masculino,Branco,Solteiro,Não,1594,0,3970,Ensino Superior,Plano Piloto,2,IDP Pass,1,Ciência da Computação,2,8,0
Anna Liz Garcia,1997-04-30,Masculino,Branco,Solteiro,Sim,2645,0,2249,Ensino Superior,Lago Norte,5,PROUNI,100,Psicologia,4,7,0
Júlia Sales,1997-10-02,Feminino,Branco,Solteiro,Sim,2086,0,3136,Ensino Superior,Sudoeste,9,ENEM,44,Psicologia,1,6,0
Amanda Souza,2002-03-01,Feminino,Negro,Solteiro,Sim,1967,0,3415,Ensino Superior,Asa Norte,10,ENEM,27,Ciência da Computação,3,10,0
Bryan Pires,2006-04-16,Masculino,Branco,Solteiro,Não,1319,0,2126,Ensino Médio,Vicente Pires,10,ENEM,48,Psicologia,1,8,0
Maitê Siqueira,2003-08-15,Feminino,Outras,Solteiro,Não,2705,2,2917,Ensino Médio,Vicente Pires,3,PROUNI,100,Economia,4,8,0
Julia Moura,1997-10-09,Masculino,Negro,Solteiro,Não,2549,0,3476,Ensino Médio,Sol Nascente/Pôr do Sol,10,PROUNI,100,Engenharia de Software,2,10,1
Luana das Neves,2005-04-20,Masculino,Branco,União Estável,Não,1711,0,3345,Ensino Médio,Gama,8,IDP Pass,11,Publicidade,2,7,0
Maria Luiza Caldeira,2001-09-30,Masculino,Branco,Solteiro,Não,2478,3,2799,Ensino Superior,Sudoeste,10,ENEM,33,Engenharia de Software,5,9,1
Lunna Cassiano,1995-10-20,Feminino,Negro,Solteiro,Sim,2266,0,2492,Ensino Médio,Noroeste,4,IDP Pass,1,Psicologia,3,9,1
Sarah Sales,2005-12-28,Masculino,Branco,Solteiro,Não,2082,0,3566,Ensino Superior,Santa Maria,7,Transferência,15,Economia,3,8,1
Joaquim Nogueira,2004-11-18,Feminino,Branco,União Estável,Não,1306,0,3113,Ensino Médio,Riacho Fundo II,9,PROUNI,100,Arquitetura,2,6,1
Luara Ribeiro,2001-09-27,Feminino,Branco,União Estável,Sim,2375,0,2429,Ensino Médio,Sudoeste,7,ENEM,45,Psicologia,5,7,0
Bernardo Pacheco,2002-08-26,Feminino,Outras,União Estável,Sim,2933,0,2310,Ensino Médio,Taguatinga,10,IDP Pass,23,Engenharia de Software,3,10,0
Oliver Peixoto,1998-10-18,Feminino,Branco,Solteiro,Sim,2873,0,2317,Ensino Superior,Lago Norte,3,Transferência,6,Arquitetura,2,6,0
Vitor Gabriel Andrade,2006-05-07,Masculino,Branco,Solteiro,Não,2734,0,2185,Ensino Superior,Lago Sul,4,IDP Pass,1,Economia,4,6,0
Isabel das Neves,1994-08-31,Masculino,Branco,União Estável,Não,1942,0,3808,Ensino Médio,Varjão,5,ENEM,23,Psicologia,1,19,0
Isaac Farias,1994-08-05,Feminino,Branco,Solteiro,Sim,2657,0,2185,Ensino Superior,Ceilândia,3,Transferência,31,Engenharia de Software,3,8,0
Clarice Pacheco,2004-06-21,Masculino,Branco,Solteiro,Não,1547,0,2433,Ensino Médio,Lago Sul,9,ENEM,20,Arquitetura,4,7,0
Maria Flor Melo,2003-08-16,Masculino,Branco,União Estável,Não,1030,0,2847,Ensino Médio,SCIA,4,IDP Pass,34,Arquitetura,4,6,1
Stephany Gomes,1915-06-17,Feminino,Branco,Solteiro,Não,1263,0,3645,Ensino Superior,Fercal,10,ENEM,14,Administração,3,8,1
Camila Rios,1995-01-05,Feminino,Negro,Solteiro,Não,1653,0,3731,Ensino Superior,Recanto das Emas,1,PROUNI,100,Economia,1,9,0
Nicole Gonçalves,2005-03-29,Masculino,Branco,Solteiro,Sim,2648,0,3932,Ensino Médio,Candangolândia,1,Transferência,44,Arquitetura,2,8,1
Bruno Vasconcelos,2003-12-25,Masculino,Negro,Solteiro,Não,1169,0,3905,Ensino Médio,Lago Sul,10,ENEM,6,Psicologia,5,9,1
Mateus Dias,2003-11-13,Masculino,Branco,Solteiro,Sim,1378,0,2539,Ensino Superior,Noroeste,6,IDP Pass,14,Psicologia,5,6,0
Juliana Nogueira,2002-04-13,Masculino,Branco,Solteiro,Sim,2077,0,3074,Ensino Superior,Asa Sul,6,IDP Pass,49,Arquitetura,2,14,1
Leandro Melo,1953-07-09,Masculino,Branco,Solteiro,Não,2773,0,3653,Ensino Superior,Recanto das Emas,4,Transferência,10,Engenharia de Software,2,8,0
Sarah Oliveira,2004-08-15,Feminino,Negro,Solteiro,Não,1462,0,3290,Ensino Superior,Varjão,6,IDP Pass,15,Publicidade,5,6,0
Leandro da Rosa,2005-09-23,Feminino,Negro,Solteiro,Não,1360,0,3998,Ensino Superior,Gama,8,Transferência,7,Publicidade,3,10,0
Manuela Novais,1939-09-06,Feminino,Branco,Solteiro,Não,2890,0,2198,Ensino Superior,SIA,6,IDP Pass,4,Ciência da Computação,1,9,0
Antonella Campos,1996-08-09,Masculino,Branco,Solteiro,Não,2772,0,3277,Ensino Superior,Noroeste,4,ENEM,31,Economia,1,9,0
Danilo Moura,2000-10-31,Feminino,Branco,Solteiro,Não,2669,0,3761,Ensino Médio,Riacho Fundo II,4,ENEM,33,Economia,4,7,0
Isis Cardoso,2005-08-14,Feminino,Branco,Solteiro,Não,2838,0,2264,Ensino Médio,Asa Sul,3,Transferência,22,Engenharia de Software,5,10,0
Maria Isis Pacheco,1997-05-15,Masculino,Outras,Solteiro,Sim,1272,0,3667,Ensino Médio,Lago Norte,9,IDP Pass,28,Engenharia de Software,3,8,0
Erick Castro,1998-02-16,Masculino,Branco,Solteiro,Sim,1801,0,3345,Ensino Médio,Lago Norte,2,PROUNI,100,Psicologia,1,9,1
Lorenzo Ribeiro,2002-09-15,Feminino,Branco,Solteiro,Não,1114,0,3773,Ensino Médio,Guará,6,IDP Pass,11,Arquitetura,3,36,1
Enrico Araújo,2002-01-04,Masculino,Negro,Solteiro,Não,2064,0,2357,Ensino Médio,Vicente Pires,5,PROUNI,100,Psicologia,3,10,1
Lucas Gomes,1997-02-12,Masculino,Branco,Solteiro,Não,2095,2,2294,Ensino Médio,SCIA,6,ENEM,4,Publicidade,5,9,0
Letícia Caldeira,1996-09-22,Feminino,Branco,Solteiro,Sim,1131,0,2643,Ensino Superior,São Sebastião,7,Transferência,19,Publicidade,2,6,0
Allana Nascimento,2005-11-01,Masculino,Negro,Solteiro,Não,2012,0,2782,Ensino Médio,Park Way,3,IDP Pass,24,Publicidade,2,7,0
Camila Pires,2001-09-07,Masculino,Branco,Solteiro,Sim,2368,0,3198,Ensino Médio,Setor de Indústrias Gráficas,6,PROUNI,100,Psicologia,2,9,0
Maria Sophia Melo,1946-12-08,Masculino,Negro,União Estável,Não,1079,0,3641,Ensino Superior,Sol Nascente/Pôr do Sol,2,IDP Pass,34,Economia,4,10,0
Maria Laura Machado,2001-04-17,Feminino,Outras,Solteiro,Não,1223,1,3725,Ensino Médio,SCIA,7,ENEM,23,Administração,5,6,0
Gabrielly Moraes,1953-07-20,Masculino,Outras,Solteiro,Sim,2836,0,3390,Ensino Superior,Gama,2,PROUNI,100,Arquitetura,4,10,0
Isadora da Rosa,1921-03-31,Feminino,Branco,Solteiro,Sim,1453,0,2432,Ensino Superior,Noroeste,6,IDP Pass,20,Ciência da Computação,4,6,0
Antony Santos,2003-11-10,Feminino,Branco,Casado,Sim,2383,0,2543,Ensino Superior,Sol Nascente/Pôr do Sol,3,Transferência,31,Publicidade,5,9,1
Luan Mendonça,2001-12-21,Feminino,Branco,Solteiro,Não,1122,0,2012,Ensino Superior,Sudoeste,6,ENEM,8,Engenharia de Software,3,6,1
Ana Júlia Duarte,2005-10-25,Feminino,Branco,Solteiro,Sim,1884,0,2779,Ensino Superior,Asa Norte,7,Transferência,0,Administração,5,8,1
Rhavi Nascimento,1999-01-03,Feminino,Negro,Solteiro,Não,2857,0,3752,Ensino Superior,Sudoeste,8,IDP Pass,36,Administração,5,7,1
Pedro Miguel Marques,1997-07-16,Masculino,Negro,Solteiro,Sim,1862,0,2473,Ensino Médio,Lago Sul,2,IDP Pass,16,Arquitetura,4,9,0
Maria Laura Guerra,2002-02-13,Masculino,Branco,Solteiro,Sim,1733,0,3318,Ensino Médio,Setor de Indústrias Gráficas,9,IDP Pass,3,Engenharia de Software,2,10,0
Clarice Alves,2002-03-30,Masculino,Branco,Solteiro,Sim,2974,0,3834,Ensino Médio,Lago Oeste,6,ENEM,42,Economia,4,8,0
Melina Rezende,1997-01-25,Masculino,Negro,Solteiro,Sim,1397,0,2502,Ensino Médio,Candangolândia,1,ENEM,9,Psicologia,3,4,1
Ágatha Garcia,1925-11-01,Masculino,Branco,Solteiro,Sim,1534,0,2665,Ensino Superior,Candangolândia,5,Transferência,45,Economia,3,7,0
Maria Luísa da Conceição,2004-09-13,Feminino,Branco,Solteiro,Não,1589,0,3762,Ensino Superior,Lago Sul,10,IDP Pass,37,Arquitetura,2,6,1
Sofia Ribeiro,1996-05-04,Masculino,Branco,Solteiro,Sim,1227,0,2462,Ensino Médio,Asa Sul,9,Transferência,13,Economia,3,8,0
Eloah Vasconcelos,1949-06-29,Feminino,Branco,União Estável,Não,2435,0,2789,Ensino Superior,Recanto das Emas,4,PROUNI,100,Engenharia de Software,4,9,0
Cecilia Rios,2004-01-11,Masculino,Branco,Solteiro,Não,2866,0,3984,Ensino Médio,Sudoeste,4,ENEM,1,Ciência da Computação,2,10,1
Cecília Barros,2001-12-09,Masculino,Negro,Solteiro,Sim,1905,0,2050,Ensino Médio,Vicente Pires,5,PROUNI,100,Arquitetura,2,9,0
Levi Fernandes,2004-11-01,Masculino,Outras,Solteiro,Não,1757,0,2359,Ensino Superior,Itapoã,6,ENEM,17,Arquitetura,3,6,0
Bento Mendes,2000-06-28,Feminino,Branco,Solteiro,Não,2567,0,3693,Ensino Médio,Lago Norte,10,Transferência,12,Economia,1,5,0
Aurora da Costa,1996-04-30,Feminino,Branco,Casado,Não,2022,0,2602,Ensino Superior,Asa Norte,5,ENEM,42,Administração,4,10,0
Henry da Cruz,1996-09-12,Masculino,Negro,Solteiro,Não,2630,0,3328,Ensino Superior,Sol Nascente/Pôr do Sol,10,PROUNI,100,Psicologia,3,1,0
João Fogaça,2006-01-08,Feminino,Negro,Solteiro,Sim,2138,0,3902,Ensino Médio,Lago Sul,4,IDP Pass,33,Administração,1,8,1
Mathias Souza,1997-10-02,Feminino,Branco,Solteiro,Não,2451,0,3488,Ensino Médio,Ceilândia,2,IDP Pass,48,Economia,5,9,0
Ana Lívia Câmara,2004-10-03,Feminino,Negro,Solteiro,Não,1671,0,3137,Ensino Superior,Asa Sul,8,Transferência,33,Ciência da Computação,2,35,0
Marcelo Moraes,1920-11-07,Feminino,Negro,Solteiro,Não,1136,0,2462,Ensino Superior,Ceilândia,5,ENEM,24,Publicidade,4,31,0
Vicente Vasconcelos,2002-03-02,Feminino,Negro,Solteiro,Não,1958,0,3208,Ensino Médio,SIA,4,ENEM,46,Psicologia,4,1,0
Henry Gabriel Lima,2004-10-02,Feminino,Outras,Solteiro,Não,1348,0,3471,Ensino Superior,Lago Sul,4,Transferência,12,Publicidade,2,10,1
Vinicius Carvalho,1998-01-04,Masculino,Branco,União Estável,Não,2988,0,3057,Ensino Superior,Riacho Fundo II,4,Transferência,44,Administração,3,8,0
João Miguel Pires,1955-06-28,Feminino,Branco,Solteiro,Não,2435,0,3970,Ensino Médio,Lago Norte,2,ENEM,6,Psicologia,2,9,0
Bryan Camargo,1995-10-26,Masculino,Outras,Solteiro,Não,1066,0,2469,Ensino Superior,Asa Norte,10,IDP Pass,35,Publicidade,4,9,1
Rael Pereira,2006-04-17,Feminino,Negro,Solteiro,Sim,1060,0,2410,Ensino Médio,Sobradinho,5,IDP Pass,11,Economia,3,13,0
Luara Câmara,2001-03-27,Feminino,Negro,União Estável,Sim,2803,0,2245,Ensino Superior,Asa Sul,9,IDP Pass,12,Ciência da Computação,1,6,1
Manuela Costela,2001-08-06,Masculino,Outras,União Estável,Não,2077,0,3498,Ensino Superior,Lago Norte,8,IDP Pass,18,Administração,2,10,1
Aurora Silva,1995-11-30,Feminino,Negro,Solteiro,Não,1897,0,2279,Ensino Médio,Asa Sul,2,IDP Pass,34,Engenharia de Software,4,6,0
Ana Lívia da Cruz,1949-05-07,Feminino,Branco,Solteiro,Sim,1389,0,3627,Ensino Superior,SCIA,2,IDP Pass,16,Ciência da Computação,2,10,1
Elisa Barros,2003-09-30,Feminino,Branco,Solteiro,Não,1317,0,3584,Ensino Superior,Lago Oeste,6,IDP Pass,37,Psicologia,4,5,0
Daniel Moraes,2000-12-01,Masculino,Negro,Solteiro,Sim,1394,0,3990,Ensino Médio,Lago Sul,6,IDP Pass,19,Publicidade,1,8,0
Bruno da Luz,1995-11-24,Masculino,Branco,Solteiro,Não,2329,0,3512,Ensino Superior,Asa Sul,2,PROUNI,100,Psicologia,4,9,0
Théo Monteiro,1995-05-13,Masculino,Branco,Solteiro,Sim,2644,0,2682,Ensino Médio,Asa Sul,5,IDP Pass,24,Economia,1,7,0
Benjamim Freitas,2003-08-15,Masculino,Negro,Solteiro,Não,1592,0,2533,Ensino Superior,Lago Sul,5,ENEM,8,Economia,5,10,0
Laís Souza,2001-11-29,Masculino,Branco,Solteiro,Sim,1492,0,3658,Ensino Médio,Fercal,1,PROUNI,100,Engenharia de Software,3,8,0
Mateus Nunes,2001-04-28,Feminino,Negro,Solteiro,Sim,1434,0,3009,Ensino Superior,Lago Sul,8,IDP Pass,30,Psicologia,2,7,0
Guilherme Barbosa,2003-11-12,Masculino,Branco,Solteiro,Sim,1517,0,3473,Ensino Superior,Asa Sul,2,IDP Pass,14,Economia,5,35,0
Joaquim Novaes,2006-05-07,Feminino,Branco,Solteiro,Não,2148,0,2537,Ensino Superior,Sudoeste,7,ENEM,8,Administração,5,8,0
Luna Dias,2001-07-05,Masculino,Branco,Solteiro,Não,1410,0,3707,Ensino Médio,Samambaia,2,IDP Pass,40,Publicidade,2,9,1
Caleb Correia,2005-08-26,Masculino,Branco,União Estável,Não,1428,0,3082,Ensino Médio,Guará,6,PROUNI,100,Arquitetura,1,8,1
Maria Julia Lopes,1998-01-16,Masculino,Branco,Solteiro,Não,2711,0,2836,Ensino Superior,Sobradinho,1,Transferência,32,Arquitetura,5,6,1
Leonardo Fonseca,1997-12-14,Feminino,Branco,Solteiro,Sim,2837,0,2011,Ensino Superior,Noroeste,3,Transferência,27,Economia,5,7,0
Ester da Cruz,1995-09-08,Feminino,Branco,Solteiro,Não,1614,0,2366,Ensino Médio,Setor de Indústrias Gráficas,2,IDP Pass,20,Arquitetura,2,7,1
Arthur Gabriel Mendonça,1996-01-28,Feminino,Branco,Solteiro,Não,2773,0,3381,Ensino Superior,SCIA,4,PROUNI,100,Engenharia de Software,1,10,1
Natália Pinto,2000-12-31,Masculino,Branco,Solteiro,Sim,1881,0,3012,Ensino Médio,Brazlândia,5,PROUNI,100,Engenharia de Software,5,7,0
Isadora Melo,2002-03-31,Masculino,Negro,Solteiro,Não,1931,0,3664,Ensino Superior,Riacho Fundo II,8,Transferência,36,Publicidade,4,9,0
João Guilherme Câmara,2003-04-21,Masculino,Negro,União Estável,Sim,2696,0,3934,Ensino Superior,Planaltina,8,PROUNI,100,Ciência da Computação,3,15,0
Mariana da Paz,2005-11-26,Feminino,Negro,Solteiro,Sim,1047,0,3397,Ensino Superior,Noroeste,4,IDP Pass,43,Economia,2,6,0
João Andrade,1996-01-24,Feminino,Branco,Solteiro,Não,2975,0,3068,Ensino Médio,Águas Claras,4,IDP Pass,37,Ciência da Computação,5,5,0
Kevin da Paz,2002-06-25,Masculino,Branco,Casado,Sim,2765,0,3502,Ensino Superior,Setor de Indústrias Gráficas,2,IDP Pass,0,Engenharia de Software,3,6,0
Melissa Vasconcelos,1996-05-12,Feminino,Branco,Solteiro,Não,2226,0,2096,Ensino Superior,Noroeste,8,PROUNI,100,Administração,4,6,1
Heloísa Peixoto,1937-11-22,Masculino,Branco,Solteiro,Não,2419,0,3965,Ensino Superior,SIA,2,IDP Pass,12,Economia,3,34,1
Bella Vargas,2004-09-21,Feminino,Branco,Solteiro,Sim,2352,0,3401,Ensino Médio,Lago Sul,10,IDP Pass,12,Psicologia,2,6,1
Rafaela da Luz,2005-05-10,Masculino,Branco,Solteiro,Não,1457,0,3685,Ensino Superior,Asa Sul,5,IDP Pass,13,Ciência da Computação,1,9,0
Igor Gomes,1997-09-19,Masculino,Branco,União Estável,Sim,1490,0,2745,Ensino Médio,Recanto das Emas,9,IDP Pass,49,Engenharia de Software,3,9,0
Ana Julia Moraes,2000-07-29,Masculino,Negro,Solteiro,Não,1880,0,3407,Ensino Superior,Lago Sul,5,ENEM,42,Engenharia de Software,1,22,0
Stephany Fonseca,1940-12-21,Masculino,Branco,União Estável,Sim,1151,0,3666,Ensino Médio,Riacho Fundo II,8,Transferência,43,Administração,4,10,1
Nina Guerra,1942-11-20,Feminino,Outras,Solteiro,Sim,2125,0,3455,Ensino Superior,Asa Norte,4,ENEM,23,Publicidade,1,24,1
Anthony Rezende,2004-10-10,Feminino,Branco,Casado,Não,1576,0,2344,Ensino Superior,Sol Nascente/Pôr do Sol,4,ENEM,34,Psicologia,1,6,1
Sophie Nunes,1995-10-24,Feminino,Negro,Solteiro,Não,2594,0,3273,Ensino Médio,SCIA,7,IDP Pass,27,Economia,4,7,0
Maria Laura Gonçalves,2005-11-13,Masculino,Branco,Solteiro,Não,1044,0,2104,Ensino Superior,Noroeste,1,IDP Pass,38,Ciência da Computação,2,9,0
Lara Leão,1996-01-19,Masculino,Branco,Solteiro,Sim,1049,0,3132,Ensino Médio,Lago Norte,8,ENEM,40,Economia,3,9,0
Kaique Carvalho,1995-12-25,Feminino,Negro,Solteiro,Sim,1099,0,3543,Ensino Médio,Noroeste,10,IDP Pass,33,Publicidade,1,8,0
